name,title,company,source
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Rajat PanditHead of Customer Engineering - Digital Natives, Google Cloud",Rajat Pandit,,scraped_techsparks2024
"Amit PurohitProgram Manager, iStart Rajasthan",Amit Purohit,,scraped_techsparks2024
"Madanmohan RaoResearch Director, YourStory",Madanmohan Rao,,scraped_techsparks2024
"Ashish VohraHead of Startups, Databricks",Ashish Vohra,,scraped_techsparks2024
"Raj MohanFounder Director,	Sustainable Green Initiative",Raj Mohan,,scraped_techsparks2024
"Pratyush Kumar PandaSectoral expert ESG (CSR and Sustainability), Founder Basudev Panda Foundation",Pratyush Kumar Panda,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Rishabh MansurHead - Community, YourStory",Rishabh Mansur,,scraped_techsparks2024
"Arpit ChugChief Financial Officer, Razorpay",Arpit Chug,,scraped_techsparks2024
"Shahid ShaikhHead - Digital Natives and Unicorn Business, SAP India",Shahid Shaikh,,scraped_techsparks2024
"Vaibhav TewariCo-founder & CEO, Portea Medical",Vaibhav Tewari,,scraped_techsparks2024
"Saurabh	OdhyanCTO- Consumer,	Freshtohome",Saurabh	Odhyan,,scraped_techsparks2024
"Kaushik DasVice President & Managing Director, JCPenney India",Kaushik Das,,scraped_techsparks2024
"Rakesh RavuriCTO & Engineering leader, Publicis Sapient",Rakesh Ravuri,,scraped_techsparks2024
"Ipsita BasuDirector - Creative Content, YourStory",Ipsita Basu,,scraped_techsparks2024
"Roopa KumarFounder & Group CEO, Purple Quarter",Roopa Kumar,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Ronnie ScrewvalaCo-founder, upGrad & Swades Foundation",Ronnie Screwvala,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Pooja GulrajaniHead of Engineering, PhonePe",Pooja Gulrajani,,scraped_techsparks2024
"Sravanthi PasumarthiDirector - Consumer Payments Growth, PhonePe",Sravanthi Pasumarthi,,scraped_techsparks2024
"Priya PatankarHead of Corporate Communications, Phonepe",Priya Patankar,,scraped_techsparks2024
"Nidhi GuptaHead of Product - Payments, PhonePe",Nidhi Gupta,,scraped_techsparks2024
"Rishabh MansurHead - Community, YourStory",Rishabh Mansur,,scraped_techsparks2024
"Atul AgarwalRegional Vice President and Country Manager, India Okta",Atul Agarwal,,scraped_techsparks2024
"Yogesh AgarwalFounder & CEO, Locomo",Yogesh Agarwal,,scraped_techsparks2024
"Sanjay KoppikarCo-founder & Chief Product Officer, EvoluteIQ",Sanjay Koppikar,,scraped_techsparks2024
"Brajesh DeManaging Director, Blue Altair",Brajesh De,,scraped_techsparks2024
"Ipsita BasuDirector - Creative Content, YourStory",Ipsita Basu,,scraped_techsparks2024
"Ankur PalChief Data Scientist, Aplazo",Ankur Pal,,scraped_techsparks2024
"Vishal GuptaCEO, PhonePe Insurance",Vishal Gupta,,scraped_techsparks2024
"Ranjan CrastaConsulting Editor, The Captable",Ranjan Crasta,,scraped_techsparks2024
"Dr. Rohini SrivathsaCTO, Microsoft India and South Asia",Dr. Rohini Srivathsa,,scraped_techsparks2024
"Rohan KharaChief Product Officer, BharatPe",Rohan Khara,,scraped_techsparks2024
"Takahisa OhiraHead of Asia Region, Deloitte Tohmatsu Venture Support",Takahisa Ohira,,scraped_techsparks2024
"Madanmohan RaoResearch Director, YourStory",Madanmohan Rao,,scraped_techsparks2024
